price,color,likes,brand,material type,Percentage discount,Rate,Fit,Saling fast,in sale,category,sex
Now 214.91 ILS,NAVY,794,,"Sweatshirt fabric: soft and warm

Main: 100% Polyester.",(-34%),4.7,Relaxed fit,,1,Hoodies & Sweatshirts,Women
Now 178.44 ILS,black,7K,Topshop,"Sweatshirt fabric: soft and warm

Main: 56% Polyester, 44% Cotton.",(-19%),,Oversized fit,,1,Hoodies & Sweatshirts,Women
Now 89.22 ILS,BLACK,2K,COLLUSION,Main: 100% Cotton.,(-19%),4.7,Unisex style,,1,Hoodies & Sweatshirts,Women
Now 146.95 ILS,BLACK/WHITE,4K,Hollister,"Mid-weight knit

Body: 60% Cotton, 40% Acrylic.",(-19%),3.8,Regular fit,,1,Hoodies & Sweatshirts,Women
From 102.34 ILS,,,,,0,4.4,,,0,Hoodies & Sweatshirts,Women
Now 251.91 ILS,GREEN,2K,,"Sweatshirt fabric: soft and warm

Main: 100% Cotton.",(-19%),5.0,Relaxed fit,,1,Hoodies & Sweatshirts,Women
Now 173.19 ILS,RED,,adidas performance,"Sweatshirt fabric: soft and warm

Main: 100% Cotton.",(-40%),5.0,Regular fit,SELLING FAST,1,Hoodies & Sweatshirts,Women
,,,,,0,3.8,,,0,Hoodies & Sweatshirts,Women
Now 167.94 ILS,Blue,12K,,,(-19%),,Unisex style,,1,Hoodies & Sweatshirts,Women
Now 230.92 ILS,BLACK,1K,adidas Originals,"Sweatshirt fabric: cosy fleece finish on reverse

Main: 100% Cotton.",(-20%),4.8,Regular fit,,1,Hoodies & Sweatshirts,Women
Now 125.95 ILS,BLACK,9K,ASOS DESIGN,"Sweatshirt fabric: soft and warm

Main: 50% Cotton, 50% Polyester.",(-20%),3.5,Relaxed fit,,1,Hoodies & Sweatshirts,Women
Now 157.44 ILS,BLACK,531,,"Sportswear: smooth and stretchy
Uses adidas AEROREADY technology
Moisture-absorbing and quick-drying

Main: 100% Polyester.",(-34%),,Regular fit,,1,Hoodies & Sweatshirts,Women
Now 183.68 ILS,White,5K,The North Face,"Fleece: soft, cosy and insulating

Main: 100% Polyester.",(-30%),3.0,Regular fit,,1,Hoodies & Sweatshirts,Women
Now 120.71 ILS,Black,453,Under Armour,"Sweatshirt fabric
Soft hand feel

Main: 80% Cotton, 20% Polyester.",(-39%),4.5,Loose cut,,1,Hoodies & Sweatshirts,Women
Now 220.42 ILS,WHITE,,Abercrombie & Fitch,"Sweatshirt fabric: soft and warm

Body: 60% Cotton, 40% Polyester.",(-19%),,Regular fit,SELLING FAST,1,Hoodies & Sweatshirts,Women
Now 307.01 ILS,NAVY,8K,Nike,"Sweatshirt fabric: soft and warm

Main: 100% Cotton.",(-19%),3.8,Regular fit,,1,Hoodies & Sweatshirts,Women
Now 188.93 ILS,,,,,,,,,1,Hoodies & Sweatshirts,Women
Now 52.48 ILS,White,,,"Soft sweatshirt fabric
Style and comfort – it's a lifestyle 

Main: 100% Cotton.",(-50%),4.2,Slouchy cut,SELLING FAST,1,Hoodies & Sweatshirts,Women
Now 201.84 ILS,BROWN,2K,Nike,"Sweatshirt fabric: soft and warm

Main: 100% Polyester.",(-30%),4.3,Relaxed fit,,1,Hoodies & Sweatshirts,Women
Now 167.94 ILS,Black,7K,adidas,"Sweatshirt fabric
Soft hand feel

Body: 100% Cotton.",(-39%),4.6,Relaxed fit,,1,Hoodies & Sweatshirts,Women
Now 330.63 ILS,Black,1K,The North Face,"Sweatshirt fabric: soft and warm

Main: 100% Cotton.",(-25%),,Oversized fit,,1,Hoodies & Sweatshirts,Women
Now 244.04 ILS,Navy,1K,The North Face,"Fleece: soft, cosy and insulating

Main: 100% Polyester.",(-19%),,Regular fit,,1,Hoodies & Sweatshirts,Women
Now 146.95 ILS,WHITE/NAVY,2K,Hollister,"Mid-weight knit

Body: 60% Cotton, 40% Acrylic.",(-19%),,Regular fit,,1,Hoodies & Sweatshirts,Women
Now 325.38 ILS,BLACK,8K,,,(-15%),4.0,Oversized fit,,1,Hoodies & Sweatshirts,Women
Now 230.92 ILS,GREEN,3K,,,(-19%),4.2,Unisex style,,1,Hoodies & Sweatshirts,Women
Now 230.92 ILS,IVORY,3K,Nike,"Sweatshirt fabric: soft and warm

Main: 80% Cotton, 20% Polyester, Rib: 97% Cotton, 3% Elastane.",(-19%),4.6,Size down for a closer fit,,1,Hoodies & Sweatshirts,Women
Now 251.91 ILS,IVORY,2K,Nike,"Sweatshirt fabric: soft and warm

Main: 80% Cotton, 20% Polyester.",(-19%),3.3,Oversized fit,,1,Hoodies & Sweatshirts,Women
Now 83.97 ILS,Black,3K,COLLUSION,"Main: 56% Cotton, 44% Polyester.",(-23%),4.2,Unisex style,,1,Hoodies & Sweatshirts,Women
Now 238.79 ILS,WHITE,615,adidas Originals,"Sweatshirt fabric: soft and warm

Main: 100% Cotton.",(-30%),,Relaxed fit,,1,Hoodies & Sweatshirts,Women
Now 251.91 ILS,GREEN,2K,,"Sweatshirt fabric: soft and warm

Main: 100% Cotton.",(-20%),4.9,Regular fit,,1,Hoodies & Sweatshirts,Women
Now 125.95 ILS,True Black,1K,Protest,"Fleece: soft, cosy and insulating

Main: 100% Polyester.",(-20%),,Regular fit,,1,Hoodies & Sweatshirts,Women
Now 267.65 ILS,BLACK,,,"Sweatshirt fabric: soft and warm

Main: 100% Cotton.",(-15%),4.8,Regular fit,SELLING FAST,1,Hoodies & Sweatshirts,Women
Now 307.01 ILS,,,,,,4.5,,,1,Hoodies & Sweatshirts,Women
