price,color,likes,brand,material type,Percentage discount,Rate,Fit,Saling fast,in sale,category,sex
145.00 ILS,AIR FORCE BLUE,2K,Dickies,,0,,Regular fit,,0,Tops,Women
145.00 ILS,PURPLE ROSE,834,Dickies,,0,,Regular fit,,0,Tops,Women
180.00 ILS,BLACK,,Vans,"Jersey: soft and stretchy

Main: 100% Cotton.",0,,Regular fit,SELLING FAST,0,Tops,Women
140.00 ILS,WHITE,235,Vans,,0,,Regular fit,,0,Tops,Women
140.00 ILS,BLACK,236,Vans,,0,,Regular fit,,0,Tops,Women
170.00 ILS,BLUE FLORAL,527,Vero Moda,"Satin-style fabric: glossy, drapey and silky-smooth

Main: 100% Polyester.",0,,Regular fit,,0,Tops,Women
220.00 ILS,GREEN,660,River Island,"Plain-woven fabric

Main: 100% Polyester.",0,,Regular fit,,0,Tops,Women
145.00 ILS,Olive,516,ASOS Curve,"Ribbed jersey: soft and stretchy

Main: 95% Cotton, 5% Elastane.",0,,Regular fit,,0,Tops,Women
80.00 ILS,WHITE,421,Noisy May,"Jersey: soft and stretchy

Main: 100% Cotton.",0,,Boxy fit,,0,Tops,Women
80.00 ILS,BLACK,733,Noisy May,"Jersey: soft and stretchy

Main: 100% Cotton.",0,,Relaxed fit,,0,Tops,Women
115.00 ILS,Black,958,ASOS DESIGN,"Jersey: soft and stretchy

Main: 94% Polyester, 6% Elastane.",0,,Bodycon fit,,0,Tops,Women
115.00 ILS,Black,1K,ASOS DESIGN,"Jersey: soft and stretchy

Main: 95% Polyester, 5% Elastane.",0,,Slim fit,,0,Tops,Women
180.00 ILS,,,,,0,,,,0,Tops,Women
160.00 ILS,,,,,0,,,,0,Tops,Women
195.00 ILS,,,,,0,,,,0,Tops,Women
130.00 ILS,BLUE,1K,ASOS DESIGN,"Jersey: soft and stretchy

Main: 100% Cotton.",0,,Regular fit,,0,Tops,Women
150.00 ILS,ORANGE,484,,,0,,Unisex style,,0,Tops,Women
305.00 ILS,Camel,886,ASOS EDITION,"Plain-woven fabric

Fabric: 90% Viscose, 10% Polyester.",0,,Relaxed fit,,0,Tops,Women
45.00 ILS,WHITE,412,,"Ribbed jersey: soft and stretchy

Main: 100% Cotton.",0,,Slim fit,,0,Tops,Women
45.00 ILS,BLACK,716,River Island Plus,,0,,Regular fit,,0,Tops,Women
105.00 ILS,MULTI,2K,ASOS DESIGN,"Jersey: soft and stretchy

Main: 92% Viscose, 8% Elastane.",0,,Bodycon fit,,0,Tops,Women
100.00 ILS,MULTI,616,,"Jersey: soft and stretchy

Main: 92% Viscose, 8% Elastane.",0,,Skinny fit,,0,Tops,Women
100.00 ILS,PINK,1K,ASOS DESIGN,,0,,Regular fit,,0,Tops,Women
90.00 ILS,SOFT BLUE,1K,ASOS Tall,"Ribbed jersey: soft and stretchy

Main: 97% Viscose, 3% Elastane.",0,,Regular fit,,0,Tops,Women
70.00 ILS,WHITE,586,ASOS Curve,"Ribbed jersey: soft and stretchy

Main: 85% Cotton, 10% Elastane, 5% Viscose.",0,,Slim fit,,0,Tops,Women
275.00 ILS,White,5K,ASOS Luxe,"Organza: sheer, smooth and crisp to touch

Lining: 100% Polyester, Shell: 100% Polyester.",0,,Regular fit,,0,Tops,Women
,,,,,0,,,,0,Tops,Women
80.00 ILS,,,,,0,,,,0,Tops,Women
100.00 ILS,BLACK,806,ASOS Curve,,0,,Regular fit,,0,Tops,Women
200.00 ILS,PINK,482,,,0,,Regular fit,,0,Tops,Women
210.00 ILS,BLACK,547,,"Jersey: soft and stretchy

Main: 100% Cotton.",0,,Boxy fit,,0,Tops,Women
175.00 ILS,Black,982,AsYou,,0,,Bodycon fit,,0,Tops,Women
175.00 ILS,Red,380,AsYou,"Satin-style fabric: glossy, drapey and silky-smooth

Lining: 100% Polyester, Shell 1: 65% Polyester, 35% Elastomultiester, Shell 2: 85% Polyamide, 15% Elastane.",0,,Regular fit,,0,Tops,Women
365.00 ILS,,,,,0,,,,0,Tops,Women
45.00 ILS,WHITE,290,Only,"Jersey: soft and stretchy

Main: 100% Cotton.",0,,Regular fit,,0,Tops,Women
280.00 ILS,Grey,277,The North Face,,0,,Slim fit,,0,Tops,Women
130.00 ILS,Purple,556,New Look,"Plain-woven fabric

Main: 100% Polyester.",0,,Regular fit,,0,Tops,Women
170.00 ILS,WHITE,,Dickies,"Jersey: soft and stretchy

Main: 100% Cotton.",0,,Regular fit,SELLING FAST,0,Tops,Women
125.00 ILS,DARK GREEN,664,Vans,"Jersey: soft and stretchy

Main: 100% Cotton.",0,,Regular fit,,0,Tops,Women
180.00 ILS,BLACK,862,Vans,"Jersey: soft and stretchy

Main: 100% Cotton.",0,,Regular fit,,0,Tops,Women
125.00 ILS,TEAL,497,Vans,"Jersey: soft and stretchy

Main: 100% Cotton.",0,,Regular fit,,0,Tops,Women
335.00 ILS,CREAM,136,Vans,"Sweatshirt fabric: soft and warm

Main: 100% Cotton.",0,,Regular fit,,0,Tops,Women
95.00 ILS,GREY,1K,Miss Selfridge,"Jersey: soft and stretchy

Main: 96% Cotton, 4% Elastane.",0,,Relaxed fit,,0,Tops,Women
160.00 ILS,Multi,515,AsYou,"Satin-style fabric: glossy, drapey and silky-smooth

Main: 95% Polyester, 5% Elastane.",0,,Bodycon fit,,0,Tops,Women
85.00 ILS,CLOUD DANCER,2K,Pieces,"Jersey: soft and stretchy

Main: 100% Cotton.",0,,Regular fit,,0,Tops,Women
170.00 ILS,WHITE & BLUE STRIPE,469,Pieces,"Cotton: lightweight, soft and strong

Main: 100% Cotton.",0,,Regular fit,,0,Tops,Women
85.00 ILS,BLACK,2K,Only,"Jersey: soft and stretchy

Main: 100% Cotton.",0,,Regular fit,,0,Tops,Women
115.00 ILS,BLACK STRIPE,,Selected,"Jersey: soft and stretchy

Main: 100% Cotton.",0,,Regular fit,SELLING FAST,0,Tops,Women
195.00 ILS,BEIGE,496,River Island,"Satin-style fabric: glossy, drapey and silky-smooth

Main: 100% Polyester.",0,,Regular fit,,0,Tops,Women
50.00 ILS,Black,399,New Look Plus,"Jersey: soft and stretchy

Shell: 100% Cotton.",0,,Boyfriend fit,,0,Tops,Women
205.00 ILS,BEIGE - DARK,2K,River Island,"Chiffon: sheer, lightweight fabric with a grainy feel

Main: 100% Polyester.",0,,Regular fit,,0,Tops,Women
305.00 ILS,PINK,1K,Carhartt WIP,,0,,Boxy fit,,0,Tops,Women
280.00 ILS,WHITE,2K,Carhartt WIP,"Jersey: soft and stretchy

Main: 100% Cotton.",0,,Oversized fit,,0,Tops,Women
280.00 ILS,GREEN,4K,Carhartt WIP,"Jersey: soft and stretchy

Main: 100% Cotton.",0,,Oversized fit,,0,Tops,Women
445.00 ILS,,,,,0,,,,0,Tops,Women
255.00 ILS,WHITE,521,,,0,,Slim fit,,0,Tops,Women
130.00 ILS,MULTI,577,Tammy Girl,"Jersey: soft and stretchy

Main: 95% Cotton, 5% Elastane.",0,,Slim fit,,0,Tops,Women
145.00 ILS,STONE,692,Tammy Girl,"Jersey: soft and stretchy

Main: 100% Polyester.",0,,Relaxed fit,,0,Tops,Women
180.00 ILS,PINK,741,Tammy Girl,"Mesh: fine, soft and sheer

Main: 95% Polyester, 5% Elastane.",0,,Regular fit,,0,Tops,Women
,,,,,0,,,,0,Tops,Women
115.00 ILS,LILAC,671,Tammy Girl,"Jersey: soft and stretchy

Main: 95% Polyester, 5% Elastane.",0,,Regular fit,,0,Tops,Women
140.00 ILS,PINK,271,Tammy Girl,"Velvet: plush, dense-pile fabric with a surface sheen

Main: 100% Polyester.",0,,Regular fit,,0,Tops,Women
140.00 ILS,GREEN,1K,Tammy Girl,"Jersey: soft and stretchy

Main: 100% Cotton.",0,,Regular fit,,0,Tops,Women
210.00 ILS,BLACK,980,Nike Football,"Jersey: soft and stretchy
Uses Nike Dri-FIT technology
Moves sweat away from the skin, then draws it out of the fabric to help speed up evaporation
Keeping you cool and dry in the process

Main: 100% Polyester.",0,,Regular fit,,0,Tops,Women
200.00 ILS,PINK,444,Nike Football,"Jersey: soft and stretchy
Uses Nike Dri-FIT technology
Moves sweat away from the skin, then draws it out of the fabric to help speed up evaporation
Keeping you cool and dry in the process

Main: 100% Polyester.",0,,Regular fit,,0,Tops,Women
160.00 ILS,,,,,0,,,,0,Tops,Women
100.00 ILS,Black,1K,ASOS Tall,"Jersey: soft and stretchy

Main: 94% Polyester, 6% Elastane.",0,,Bodycon fit,,0,Tops,Women
140.00 ILS,Black,2K,ASOS Tall,,0,,Bodycon fit,,0,Tops,Women
240.00 ILS,Brown,1K,Abercrombie & Fitch,"Jersey: soft and stretchy

Body: 95% Polyester, 5% Elastane, Lining: 95% Polyester, 5% Elastane.",0,,Bodycon fit,,0,Tops,Women
125.00 ILS,MID GREEN,351,Vans,,0,,Regular fit,,0,Tops,Women
195.00 ILS,BRIGHT PINK,996,Vans,,0,,Regular fit,,0,Tops,Women
"58,100.00 ILS",DARK GREEN,668,Vans,,0,,Regular fit,,0,Tops,Women
125.00 ILS,MID BLUE,258,,,0,,Regular fit,,0,Tops,Women
180.00 ILS,WHITE,331,Vans,"Jersey: soft and stretchy

Main: 100% Cotton.",0,,Regular fit,,0,Tops,Women
180.00 ILS,IVORY,246,Vans,"Jersey: soft and stretchy

Main: 100% Cotton.",0,,Regular fit,,0,Tops,Women
140.00 ILS,BLACK,267,Simply Be,"Plain-woven fabric

Main: 100% Polyester.",0,,Regular fit,,0,Tops,Women
130.00 ILS,Blue,931,ASOS DESIGN,"Slinky fabric: super-smooth, clingy and stretchy

Main: 95% Polyester, 5% Elastane.",0,,Regular fit,,0,Tops,Women
210.00 ILS,Black and white,826,Urban Revivo,"Jersey: soft and stretchy

Main: 95% Polyester, 5% Elastane.",0,,Regular fit,,0,Tops,Women
95.00 ILS,Black,1K,Urban Revivo,,0,,Slim fit,,0,Tops,Women
245.00 ILS,Multi,474,Urban Revivo,"Stretch, plain-woven fabric

Main: 96% Polyester, 4% Elastane.",0,,Regular fit,,0,Tops,Women
195.00 ILS,ZEBRA PRINT,601,4th & Reckless Plus,"Satin-style fabric: glossy, drapey and silky-smooth

Fabric: 93% Polyester, 7% Elastane.",0,,Regular fit,,0,Tops,Women
195.00 ILS,,,,,0,,,,0,Tops,Women
255.00 ILS,,,,,0,,,,0,Tops,Women
130.00 ILS,,,,,0,,,,0,Tops,Women
305.00 ILS,,,,,0,,,,0,Tops,Women
70.00 ILS,CREAM,656,Vero Moda,"Jersey: soft and stretchy

Main: 100% Cotton.",0,,Regular fit,,0,Tops,Women
145.00 ILS,BLACK,3K,Noisy May,"Jersey: soft and stretchy

Main: 100% Cotton.",0,,Regular fit,,0,Tops,Women
90.00 ILS,CREAM/BLACK SPOT,1K,Wednesday's Girl,,0,,Regular fit,,0,Tops,Women
195.00 ILS,,,,,0,,,,0,Tops,Women
195.00 ILS,,,,,0,,,,0,Tops,Women
160.00 ILS,RED ORANGE DAISY,687,Glamorous,"Plain-woven fabric

Lining: 100% Polyester, Main: 100% Polyester.",0,,Regular fit,,0,Tops,Women
195.00 ILS,BLACK,2K,River Island,,0,,Regular fit,,0,Tops,Women
210.00 ILS,Purple,915,Nike Running,,0,,Regular fit,,0,Tops,Women
130.00 ILS,BLACK,1K,In The Style,"Satin-style fabric: glossy, drapey and silky-smooth

Fabric: 100% Polyester, Trim: 100% Polyamide.",0,,Regular fit,,0,Tops,Women
200.00 ILS,Blue,581,Nike Running,"Sportswear: smooth and stretchy fabric
Uses Nike Dri-FIT technology
Moves sweat away from the skin, then draws it out of the fabric to help speed up evaporation
Keeping you cool and dry in the process

Main: 100% Polyester.",0,,Regular fit,,0,Tops,Women
200.00 ILS,Lilac,1K,Miss Selfridge,"Cotton: lightweight, soft and strong

Embroidery Thread: 100% Polyester, Shell: 100% Cotton.",0,,Boxy fit,,0,Tops,Women
145.00 ILS,BLACK,467,ASOS Curve,"Cotton: lightweight, soft and strong

Fabric: 100% Cotton.",0,,Oversized fit,,0,Tops,Women
180.00 ILS,WHITE,526,ASOS Curve,"Cotton: lightweight, soft and strong

Main: 100% Cotton.",0,,Relaxed fit,,0,Tops,Women
170.00 ILS,Multi,2K,,"Chunky knit

Body: 100% Acrylic.",0,,Regular fit,,0,Tops,Women
305.00 ILS,BLACK,677,Vans,"Sweatshirt fabric: soft and warm

Main: 100% Cotton.",0,,Relaxed fit,,0,Tops,Women
170.00 ILS,GREY,4K,,"Sweatshirt fabric: soft and warm

Main: 100% Cotton.",0,,Unisex style,,0,Tops,Women
200.00 ILS,Black,464,Nike Running,"Jersey: soft and stretchy

Main: 100% Polyester.",0,,Relaxed fit,,0,Tops,Women
150.00 ILS,WHITE,506,,,0,,Unisex style,,0,Tops,Women
290.00 ILS,BLACK,225,Nike,"Ribbed jersey: soft and stretchy

Main: 60% Cotton, 20% Polyester, 20% Rayon.",0,,Regular fit,,0,Tops,Women
105.00 ILS,RED,1K,AsYou,"Satin-style fabric: glossy, drapey and silky-smooth

Body: 96% Polyester, 4% Elastane, Lining: 100% Polyester.",0,,Slim fit,,0,Tops,Women
210.00 ILS,,,,,0,,,,0,Tops,Women
130.00 ILS,,,,,0,,,,0,Tops,Women
195.00 ILS,Black,122,The North Face,"Jersey: soft and stretchy

Main: 100% Cotton.",0,,Regular fit,,0,Tops,Women
160.00 ILS,Charcoal,4K,Reclaimed Vintage,,0,,Slim fit,,0,Tops,Women
195.00 ILS,RED AND BLACK,262,Flounce London,"Satin-style fabric: glossy, drapey and silky-smooth

Main: 100% Polyester.",0,,Regular fit,,0,Tops,Women
140.00 ILS,Black Ditsy Heart,632,Style Cheat,"Viscose: lightweight, soft and drapey

Main: 100% Viscose.",0,,Regular fit,,0,Tops,Women
290.00 ILS,WHITE,210,Nike,"Jersey: soft and stretchy

Main: 60% Cotton, 20% Polyester, 20% Rayon.",0,,Regular fit,,0,Tops,Women
145.00 ILS,,,,,0,,,,0,Tops,Women
170.00 ILS,White,165,The North Face,"Jersey: soft and stretchy

Main: 100% Cotton.",0,,Relaxed fit,,0,Tops,Women
305.00 ILS,LIGHT PINK,484,Vans,"Sweatshirt fabric: soft and warm

Main: 100% Cotton.",0,,Regular fit,,0,Tops,Women
115.00 ILS,BLACK,942,Miss Selfridge,"Jersey: soft and stretchy

Main: 98% Polyester, 2% Elastane.",0,,Regular fit,,0,Tops,Women
150.00 ILS,Black Ecru,917,Topshop,"Non-stretch denim: black wash

Lining: 64% Polyester, 36% Cotton, Main: 100% Cotton.",0,,Regular fit,,0,Tops,Women
,,,,,0,,,,0,Tops,Women
430.00 ILS,MOCHA BROWN,852,,"Plain-woven fabric

Main: 100% Polyester.",0,,Slim fit,,0,Tops,Women
240.00 ILS,GREEN DITSY,659,,,0,,Slim fit,,0,Tops,Women
270.00 ILS,NEON GREEN,815,,,0,,Slim fit,,0,Tops,Women
630.00 ILS,Pearly Blue,920,Tommy Jeans,"Boucle: wool-like yarn made up of looped circles and curls

Main: 86% Polyester, 14% Acrylic.",0,,Oversized fit,,0,Tops,Women
475.00 ILS,,,,,0,,,,0,Tops,Women
150.00 ILS,,,,,0,,,,0,Tops,Women
195.00 ILS,BRIGHT GREEN,650,JJXX,"Plain-woven fabric

Main: 65% Polyester, 35% Cotton.",0,,Oversized fit,,0,Tops,Women
100.00 ILS,,,,,0,,,,0,Tops,Women
150.00 ILS,BLACK,2K,Miss Selfridge,"Faux leather: matte finish

Backing: 89% Polyester, 11% Elastane, Face: 100% Polyurethane.",0,,Zip-back fastening,,0,Tops,Women
130.00 ILS,Chocolate,2K,ASOS DESIGN,"Slinky fabric: super-smooth, clingy and stretchy

Body: 94% Polyester, 6% Elastane.",0,,Regular fit,,0,Tops,Women
210.00 ILS,,,,,0,,,,0,Tops,Women
90.00 ILS,MID BLUE,278,South Beach,,0,,Slim fit,,0,Tops,Women
255.00 ILS,,,,,0,,,,0,Tops,Women
315.00 ILS,Pink,2K,Nike Running,"Sportswear: smooth and stretchy fabric
Uses Nike Dri-FIT technology
Moves sweat away from the skin, then draws it out of the fabric to help speed up evaporation
Keeping you cool and dry in the process

Main: 100% Polyester.",0,4.1,Regular fit,,0,Tops,Women
100.00 ILS,BLACK,552,South Beach,"Sportswear: smooth and stretchy fabric

Main: 80% Polyester, 20% Elastane.",0,,Regular fit,,0,Tops,Women
100.00 ILS,TAN,620,South Beach,"Jersey: soft and stretchy

Main: 95% Polyamide, 5% Elastane.",0,,Regular fit,,0,Tops,Women
100.00 ILS,DARK GREEN,1K,South Beach,"Ribbed jersey: soft and stretchy

Main: 75% Polyamide, 25% Elastane.",0,,Slim fit,,0,Tops,Women
90.00 ILS,MID BLUE,1K,South Beach,"Sportswear: smooth and stretchy fabric

Main: 75% Polyamide, 25% Elastane.",0,,Slim fit,,0,Tops,Women
100.00 ILS,BROWN,3K,South Beach,"Jersey: soft and stretchy

Main: 95% Polyamide, 5% Elastane.",0,,Slim fit,,0,Tops,Women
210.00 ILS,RED,4K,,"Jersey: soft and stretchy

Main: 100% Cotton.",0,,Oversized fit,,0,Tops,Women
100.00 ILS,WHITE,1K,Pieces,"Jersey: soft and stretchy

Main: 95% Cotton, 5% Elastane.",0,,Regular fit,,0,Tops,Women
225.00 ILS,BLACK,165,Puma,"Jersey: soft and stretchy
Uses PUMA dryCELL technology
Moves sweat away from the skin, then draws it out of the fabric to help speed up evaporation
Keeping you cool and dry in the process

Main: 100% Cotton.",0,,Designed to fit you from bump to baby,,0,Tops,Women
100.00 ILS,GREY MARL,1K,ASOS Tall,"Ribbed jersey: soft and stretchy

Main: 92% Cotton, 5% Viscose, 3% Elastane.",0,,Bodycon fit,,0,Tops,Women
200.00 ILS,BLACK,,Nike Football,"Sportswear: smooth and stretchy fabric
Uses Nike Dri-FIT technology
Moves sweat away from the skin, then draws it out of the fabric to help speed up evaporation
Keeping you cool and dry in the process

Main: 100% Polyester.",0,,Regular fit,SELLING FAST,0,Tops,Women
100.00 ILS,DARK GREEN,,South Beach,"Ribbed jersey: soft and stretchy

Main: 75% Polyamide, 25% Elastane.",0,,Slim fit,SELLING FAST,0,Tops,Women
100.00 ILS,DARK GREEN,663,South Beach,,0,,Regular fit,,0,Tops,Women
100.00 ILS,BLACK,2K,South Beach,"Jersey: soft and stretchy

Main: 80% Polyester, 20% Elastane.",0,,Regular fit,,0,Tops,Women
Now 146.95 ILS,BLACK,4K,,,(-29%),,Relaxed fit,,1,Tops,Women
Now 165.32 ILS,GREY,321,,"Jersey: soft and stretchy

Main: 100% Cotton.",(-29%),,Slim fit,,1,Tops,Women
160.00 ILS,MOREL,1K,Selected,"Jersey: soft and stretchy

Main: 100% Cotton.",0,,Boxy fit,,0,Tops,Women
170.00 ILS,WHITE RED DITSY,433,Glamorous Curve,,0,,Regular fit,,0,Tops,Women
205.00 ILS,OATMEAL,2K,Glamorous,,0,,Bodycon fit,,0,Tops,Women
100.00 ILS,SPOT BUZZY BLUE,970,Cotton:On,"Slinky fabric: super-smooth, clingy and stretchy

Main: 92% Polyester, 8% Elastane, Slip: 95% Cotton, 5% Elastane.",0,,Regular fit,,0,Tops,Women
240.00 ILS,Black,2K,Jordan,"Jersey: soft and stretchy

Main: 61% Cotton, 33% Polyester, 6% Spandex.",0,4.1,Slim fit,,0,Tops,Women
75.00 ILS,WHITE,508,,,0,,Slim fit,,0,Tops,Women
255.00 ILS,Sage,882,ASOS DESIGN,"Satin-style fabric: glossy, drapey and silky-smooth

Main: 100% Polyester.",0,,Regular fit,,0,Tops,Women
420.00 ILS,BLACK,3K,Nike,"Velour: soft, dense-pile fabric with a velvet feel

Main: 93% Polyester, 7% Spandex.",0,,Regular fit,,0,Tops,Women
475.00 ILS,White,842,,,0,,,,0,Tops,Women
225.00 ILS,BLACK,1K,Topshop,,0,,Regular fit,,0,Tops,Women
100.00 ILS,PINK,766,Miss Selfridge,"Soft, stretchy jersey
T-shirt fabric

Main: 95% Viscose, 5% Elastane.",0,,Slim fit,,0,Tops,Women
160.00 ILS,brown,1K,Topshop,,0,,Regular fit,,0,Tops,Women
210.00 ILS,White,483,,"Jersey: soft and stretchy

Main: 100% Cotton.",0,,Boyfriend fit,,0,Tops,Women
175.00 ILS,PINK,2K,,"Velvet: plush, dense-pile fabric with a surface sheen

Main: 92% Polyester, 8% Elastane.",0,,Regular fit,,0,Tops,Women
175.00 ILS,MID BLUE,1K,Nike Training,"Jersey: soft and stretchy
Uses Nike Dri-FIT technology
Moves sweat away from the skin, then draws it out of the fabric to help speed up evaporation
Keeping you cool and dry in the process

Main: 100% Polyester.",0,,Regular fit,,0,Tops,Women
190.00 ILS,PALE PINK,445,Topshop,"Lightweight woven fabric 
Soft and drapey

Main: 100% Viscose.",0,,Regular fit,,0,Tops,Women
125.00 ILS,PINK,391,Vans,,0,,Regular fit,,0,Tops,Women
175.00 ILS,LIGHT BLUE,3K,,,0,,Unisex style,,0,Tops,Women
170.00 ILS,White,464,Nike Basketball,"Jersey: soft and stretchy

Main: 57% Cotton, 43% Polyester.",0,,Regular fit,,0,Tops,Women
210.00 ILS,Pink,441,,,0,,Boyfriend fit,,0,Tops,Women
125.00 ILS,Orange,583,Urban Revivo,"Jersey: soft and stretchy

Main: 95% Polyester, 5% Elastane.",0,,Regular fit,,0,Tops,Women
315.00 ILS,Blue,998,Nike Running,"Sportswear: smooth and stretchy fabric
Uses Nike Dri-FIT technology
Moves sweat away from the skin, then draws it out of the fabric to help speed up evaporation
Keeping you cool and dry in the process

Main: 100% Polyester.",0,4.1,Regular fit,,0,Tops,Women
290.00 ILS,Brown,273,,,0,,Unisex style,,0,Tops,Women
90.00 ILS,BRIGHT GREEN,1K,ASOS DESIGN,,0,,Relaxed fit,,0,Tops,Women
210.00 ILS,MID BLUE,2K,Nike Football,"Sportswear: smooth and stretchy fabric
Uses Nike Dri-FIT technology
Moves sweat away from the skin, then draws it out of the fabric to help speed up evaporation
Keeping you cool and dry in the process

Main: 100% Polyester.",0,,Regular fit,,0,Tops,Women
170.00 ILS,CHECK,733,ASOS DESIGN,"Cotton: lightweight, soft and strong

Fabric: 100% Cotton.",0,,Relaxed fit,,0,Tops,Women
420.00 ILS,GREY,874,Nike,"Velour: soft, dense-pile fabric with a velvet feel

Main: 93% Polyester, 7% Spandex.",0,,Oversized fit,,0,Tops,Women
150.00 ILS,Blue,400,ASOS Curve,"Plain-woven fabric

Main: 100% Polyester.",0,,Slim fit,,0,Tops,Women
80.00 ILS,GREY MELAGE,811,,"Sportswear: smooth and stretchy fabric

Body: 58% Polyamide, 34% Polyester, 8% Elastane, Lining: 52% Polyamide, 31% Polyester, 17% Elastane.",0,,Slim fit,,0,Tops,Women
160.00 ILS,WHITE POINTELLE,715,Glamorous,,0,,Regular fit,,0,Tops,Women
210.00 ILS,MUSKMELON ORANGE,252,Annorlunda,"Textured woven fabric

Main: 100% Polyester.",0,,Regular fit,,0,Tops,Women
195.00 ILS,TIE DYE CHECK,104,Annorlunda,"Satin-style fabric: glossy, drapey and silky-smooth

Lining: 100% Polyester, Main: 94% Polyester, 6% Elastane.",0,,Regular fit,,0,Tops,Women
415.00 ILS,Blue and white,373,& Other Stories,"Cotton: lightweight, soft and strong

Main: 100% Cotton.",0,,Regular fit,,0,Tops,Women
165.00 ILS,Green,637,NA-KD,,0,,Slim fit,,0,Tops,Women
270.00 ILS,LEOPARD,700,,,0,,Regular fit,,0,Tops,Women
350.00 ILS,NOIR,590,,"Faux leather: matte finish

Lining: 92% Polyester, 8% Spandex, Main: 100% Polyurethane, Base Fabric: 100% Polyester.",0,,Slim fit,,0,Tops,Women
180.00 ILS,MUSKMELON,143,Annorlunda,"Ribbed jersey: soft and stretchy

Main: 100% Polyester.",0,,Slim fit,,0,Tops,Women
115.00 ILS,Blue,2K,ASOS Petite,"Jersey: soft and stretchy

Main: 94% Cotton, 6% Elastane.",0,,Bodycon fit,,0,Tops,Women
145.00 ILS,BRIGHT GREEN,308,JDY,"Plain-woven fabric

Main: 72% Cotton, 24% Polyester, 4% Elastane.",0,,Oversized fit,,0,Tops,Women
75.00 ILS,WHITE,616,Collusion,"Jersey: soft and stretchy

Main: 100% Cotton.",0,,Regular fit,,0,Tops,Women
160.00 ILS,Beige,368,Vans,"Jersey: soft and stretchy

Main: 100% Cotton.",0,,Boxy fit,,0,Tops,Women
Now 50.38 ILS,,,,,,,,,1,Tops,Women
195.00 ILS,,,,,0,,,,0,Tops,Women
130.00 ILS,,,,,0,,,,0,Tops,Women
200.00 ILS,LBLUE,1K,Nike,"Jersey: soft and stretchy

Main: 100% Cotton.",0,,Relaxed fit,,0,Tops,Women
160.00 ILS,ECRU,188,Topshop,"Jersey: soft and stretchy

Main: 100% Cotton.",0,,Relaxed fit,,0,Tops,Women
95.00 ILS,,,,,0,,,,0,Tops,Women
195.00 ILS,RED,282,ASOS DESIGN,"Chiffon: sheer, lightweight fabric with a grainy feel

Shell: 100% Polyester.",0,,Regular fit,,0,Tops,Women
225.00 ILS,Navy,199,The North Face,"Jersey: soft and stretchy

Main: 100% Cotton.",0,,Regular fit,,0,Tops,Women
200.00 ILS,WHITE,218,,"Jersey: soft and stretchy

Main: 100% Cotton.",0,,Regular fit,,0,Tops,Women
80.00 ILS,ROUGE,261,Miss Selfridge,"Main: 62% Polyester, 33% Viscose, 5% Elastane.",0,,Regular fit,,0,Tops,Women
130.00 ILS,CORAL,179,Noisy May,"Jersey: soft and stretchy

Main: 95% Polyester, 5% Elastane.",0,,Regular fit,,0,Tops,Women
Now 165.32 ILS,PURPLE,314,,"Jersey: soft and stretchy

Main: 100% Cotton.",(-29%),,Regular fit,,1,Tops,Women
990.00 ILS,Blue,175,HUGO,"Stretch denim: dark blue wash

Main: 79% Cotton, 20% Polyester, 1% Elastane.",0,,Regular fit,,0,Tops,Women
150.00 ILS,,,,,0,,,,0,Tops,Women
440.00 ILS,White,598,BOSS,,0,,Relaxed fit,,0,Tops,Women
280.00 ILS,,,,,0,,,,0,Tops,Women
140.00 ILS,TAN,155,Vans,"Jersey: soft and stretchy

Main: 100% Cotton.",0,,Regular fit,,0,Tops,Women
220.00 ILS,BLACK,256,Edited,"Ribbed knit

Main: 100% Polyester.",0,,Cropped length,,0,Tops,Women
690.00 ILS,CHOCOLATE,,,,0,,Regular fit,,0,Tops,Women
195.00 ILS,BLACK,110,NA-KD,"Fine knit

Shell: 52% Viscose, 44% Polyester, 4% Polyamide.",0,,Regular fit,,0,Tops,Women
195.00 ILS,BLUE GREY,211,NA-KD,"Fine knit

Shell: 52% Viscose, 44% Polyester, 4% Polyamide.",0,,Regular fit,,0,Tops,Women
365.00 ILS,BLACK SNAKE,205,Envii,,0,,Regular fit,,0,Tops,Women
155.00 ILS,BLACK,177,Vans,"Jersey: soft and stretchy

Main: 100% Cotton.",0,,Regular fit,,0,Tops,Women
120.00 ILS,Black,157,NA-KD,"Fine, stretchy mesh

Main: 92% Polyester, 8% Elastane.",0,,Slim fit,,0,Tops,Women
225.00 ILS,Black,50,The North Face,"Jersey: soft and stretchy

Main: 100% Cotton.",0,,Regular fit,,0,Tops,Women
180.00 ILS,Green,,The North Face,"Jersey: soft and stretchy

Main: 100% Cotton.",0,,Regular fit,,0,Tops,Women
170.00 ILS,ROSE PRINT,183,ASOS DESIGN,"Plain-woven fabric

Main: 100% Polyester.",0,,Slim fit,,0,Tops,Women
150.00 ILS,Black,512,ASOS Curve,"Jersey: soft and stretchy

Main: 94% Polyester, 6% Elastane.",0,,Regular fit,,0,Tops,Women
180.00 ILS,Pink,58,The North Face,"Jersey: soft and stretchy

Main: 100% Cotton.",0,,Regular fit,,0,Tops,Women
100.00 ILS,SAGE,82,ASOS DESIGN,"Ribbed jersey: soft and stretchy

Main: 100% Cotton, Trim: 100% Polyester.",0,,Skinny fit,,0,Tops,Women
